,title,rating,review
20, 더 킬러: 죽어도 되는 아이 ,10,액션이 아주 좋아요 ㅎㅎ                         
21, 더 킬러: 죽어도 되는 아이 ,10,장혁님 영화는 믿고 봅니다                         
22, 헤어질 결심 ,10,박찬욱의 마스터피스.감사합니다. 이런 영화 보게 해주셔서                         
23, 탑건: 매버릭 ,10,진짜 모든게 완벽!!!톰크루즈가 비행할때 같이 숨참으면서 봤어요                         
24, 탑건: 매버릭 ,8,용산 아이맥스 졸음. 4DX스크린 관람 대박. 돈이 안아까움.                         
25, 뒤틀린 집 ,10,감독님이 아역배우들의 연기를 잘 담아내셨네요.송아지 같아보이는 서영희 배우의 섬뜩한 공포물 연기도...ㄷㄷㄷ기존의 그냥 놀래키고 잔인한 공포물과는 뭔가 다른 생각하게 만드는 공포영화라고 생각됩니다.                         
26, 탑건: 매버릭 ,9,아주아주 재밌었습니다.                         
27, 탑건: 매버릭 ,10,신고 
28, 큐어 ,5,다 내탓이다. 내내 졸면서 봤으니 다 내탓이다.                         
29, 브로커 ,1,최악입니다 돈아까워요                         
30, 탑건: 매버릭 ,7,비행 장면이 멋있었다                         
31, 로스트 도터 ,9,이 영화는 처음부터 어디로 튈지 모르는 채로 보는 것이 좋습니다. 스포일러를 최대한 보지 않고 가는 것을 권합니다. 포스터 조차 스포가 될 수 있습니다. 어머니에 대해 다시 생각해보는 기회가 되었습니다.                         
32, 컴온 컴온 ,8,"우리가 사회에서 강요 받는 것, 그리고 그 속에서 살아간다는 것에 대한 이야기. 담담하게 이어지는 가족의 삶                         "
33, 탑건: 매버릭 ,8,올 여름 가장 시원한 영화일 거라 자부한다. 과거라는 중력을 멋지게 돌파해 도착한 그 곳에서 본 톰 크루즈의 미소는 지저분한 여운없는 깔끔한 엔딩이 무엇인지를 보여준다.                         
34," 그 시절, 우리가 좋아했던 소녀 ",10,새벽에 보면 헤어나오지 못함 영화를 두번 이상 보지않는 나에게 6번 이상 보았음 여배우가 너무 이쁨                         
35, 토르: 러브 앤 썬더 ,10,딸가진 부모가 느낄수 있는 최고의 고통을 표현한 고르에 감동.. 단. 유괴는 범죄입니다.                         
36, 헤어질 결심 ,6,"처음 남주가 여주를 좋아하게된 계기도 너무 뜬금없고,그과정에서 불륜은 물론 직업윤리배반 (붕괴라고 하는데) 까지..대체 어디서 공감을 해야할지..마지막 여주의 행동도 황당했음..연출력만 뛰어났을뿐 공감은 힘들                         "
37, 탑건: 매버릭 ,10,60대의 영화배우가 진짜 전투기를 타고 영화를 찍었다? 진짜 존경스럽습니다. 탐형님!!스토리 머시기 다 무시하고 영상미 하나로 끝남.탑건 매버릭은 무조건 스크린X관에서 봐야 함.                         
38, 아들 ,8,만일 내가 올리비에였다면 어땠을까..내 아들이 옆에 없다면 어떨까...이 생각만으로 눈물이...                         
39, 군다 ,10,"다른 어떠한 동물보호 활동이나 말들보다, 강렬합니다.                         "
40, 의형제 ,10,동원오빠 얼굴은 언제봐도 예술이야..                         
41, 명탐정 코난: 할로윈의 신부 ,10,보는데 시간가는 줄몰랐다                         
42, 명탐정 코난: 할로윈의 신부 ,10,최근 극장판중에서 제일 재미있었다. 몰입도도 엄청났음                         
43, 헤어질 결심 ,10,종가에서 500년 넘게 이어져 내려온다는 씨간장 맛이 이럴까. 감탄스럽고 감동스럽고 뭉클하고 울컥한... 제대로 익은 박찬욱 감독 최고의 영화. 다음 영화도 몇 년이 걸리든 기다리고 기대할게요.                         
44, 토르: 러브 앤 썬더 ,8,토르의 정신적 성숙이 돋보이는 영화                         
45, 토르: 러브 앤 썬더 ,10,액션 완전대박이고 재밌었다                         
46, 헤어질 결심 ,10,보면볼수록 진국이었던 영화                         
47, 탑건: 매버릭 ,10,극장에서 꼭 봐야할 영화입니다                         
48, 마녀(魔女) Part2. The Other One ,10,액션이 아주 일품이었다                         
49, 버즈 라이트이어 ,10,이렇게 또 만나게 되서 좋았다                         
50, 애프터 양 ,10,보고나서 너무나도 좋았던 영화                         
51, 탑건: 매버릭 ,10,과거의 나와 만나 신나게 보았다. 톰형이 고심해서 만들면 지릴수 밖에 없다는 것을 보여준 영화.                         
52, 브로커 ,10,잔잔함 속에서 느껴지는 감동                         
53, 범죄도시2 ,9,재밌네 또                         
54, 쥬라기 월드: 도미니언 ,10,마무리가 아쉬웠지만 공원의 주역들이 다나와서 좋았다                         
55, 주온 - 극장판 2 ,4,아니 연기력이랑 개연성 개말아먹었네 아무리 옛날 영화라지만..;; 아무리 개연성 없어도 그렇지 왜 죄없는 사람들 이유없이 죽이냐 귀신들은 보다보다 어이가 없어서                         
56, 범죄도시2 ,10,무조건 재밌었다!!!                         
57, 토르: 러브 앤 썬더 ,10,잔인하거나 자극적이지 않고 뒤끝없이 즐길 수 있는 히어로 영화                         
58, 허셀프 ,10,긴 여운과 감동을 느낄수있었다                         
59, 니 부모 얼굴이 보고 싶다 ,10,연기를 잘해서 너무화났다                         
60, 토르: 마법 검의 전설 ,10,나름의 재미를 찾았다                         
61, 닥터 스트레인지: 대혼돈의 멀티버스 ,10,다음의 멀티버스가 또 기대가 된다                         
62, 배드 가이즈 ,10,웃음과 재미를 다 잡았다                         
63, 쿠폰의 여왕 ,10,버릴거 하나없이 너무나도 재밌었다                         
64, 공기살인 ,10,절대 잊지말아야할 살인사건                         
65, 극장판 귀멸의 칼날: 무한열차편 ,10,봐도봐도 전혀 질리지가 않는다                         
66, 로스트 시티 ,10,소소한 웃음과 액션이 좋았다                         
67, 앵커 ,10,아주 섬뜩하고 무서웠네요                         
68, 토르: 러브 앤 썬더 ,2,기대를 크게 안하고 갔는데정말 깜짝 놀랐어요. 개그코드 외에 재미가 너무 없었어요큰 실망 ㅜ티켓값도 올랐는데그냥 집에서 봐도 될듯 ㅜ하지만 우리 딸들은 너무 좋아하더군요중학생 초6인데세대차이?암튼 전 별로                         
69, 봄날 ,10,나름 볼만했던 영화였습니다.                         
70, 탑건: 매버릭 ,9,"클리셰가 가득했다고 해야할지, 향수를 불러일으킨다 해야할지 애매했던 장면들을 어마어마한 영상미로 모두 까먹게 해준 영화                         "
71, 어벤져스: 엔드게임 ,10,신고 
72, 어벤져스: 엔드게임 ,10,신고 
73, 엘비스 ,10,정말 잘 만든 영화앨비스의 생애를 화려한 연출과 음악으로 잘 담아냈음다만 2시간 40분의 간 러닝타임은 좀 부담됨                         
74, 탑건: 매버릭 ,10,코로나시대 이후 본 첫영화가 탑건 인생영화가 되었습니다.                         
75, 탑건: 매버릭 ,10,이번엔 4dx로 보러간다정말인지 이 영화는 지린다....                         
76, 탑건: 매버릭 ,10,재밌게 봤어요~~                         
77, 탑건: 매버릭 ,10,해변에서 다같이 풋볼하던 장면은 진짜 레전드 명장면이다 보는 내가 다 자유로운 기분 들고 에너지가 느껴짐 ㅠ  ost까지 너무 완벽 톰크루즈는 진짜 할리우드 배우들중에서 가장 레전드다                         
78, 토르: 러브 앤 썬더 ,10,만두 만두 만두 귀여워 토르는                         
79, 버즈 라이트이어 ,6,직접 본 게 아니라 평은 힘들지만 재미없었다고 함                         
80, 마녀(魔女) Part2. The Other One ,7,1편보다는 아쉬웠지만 3편은 기다려짐                         
81, 친구 ,6,"서로에게 붙여준 또다른 이름 '친구', 당연하다는 듯이 말하기도 하고 망설이며 부르기도 하지만 가장 지키고 싶었던 그 이름.                         "
82, 헤어질 결심 ,10,섬세하게 짜여있어서 여러번 보고 싶은 영화                         
83, 탑건: 매버릭 ,10,별 내용은 없지만 볼거리는 확실함                         
84, 탑건: 매버릭 ,10,신고 
85, 토르: 러브 앤 썬더 ,9,재밋기만 하더만 머가 문제임?                         
86, 탑건: 매버릭 ,10,최고의 영화 아이맥스 관람 추천                         
87, 범죄도시2 ,10,타격감이 좋다                         
88, 탑건: 매버릭 ,10,전축!사고 젤 먼저 튼 danger zone의 전율이 생각나 눈물나왔음                         
89, 헤어질 결심 ,6,N차를 해야만 이해도가 높은 영화                         
90, 마녀(魔女) Part2. The Other One ,6,마녀1이 너무 압도적이었다                         
91, 헤어질 결심 ,10,신고 
92, 뒤틀린 집 ,2,별 하나도 너무 아까워요.공포.스릴.호러 비교도 안될정도로 재미가 하나뚜 없음요ㅠㅠ중간에 나가고 싶어져요!!여름 더위 날리러 공포 선택했는데..최악 입니다                         
93, 뒤틀린 집 ,2,별 하나도 너무 아까워요.공포.스릴.호러 비교도 안될정도로 재미가 하나뚜 없음요ㅠㅠ중간에 나가고 싶어져요!!여름 더위 날리러 공포 선택했는데..최악 입니다                         
94, 뒤틀린 집 ,2,별 하나도 너무 아까워요.공포.스릴.호러 비교도 안될정도로 재미가 하나뚜 없음요ㅠㅠ중간에 나가고 싶어져요!!여름 더위 날리러 공포 선택했는데..최악 입니다                         
95, 브로커 ,8,최고의 배우들의 연기와 스토리 재밌게 잘봤습니다                         
96, 헤어질 결심 ,9,기대를 저버리지않는 박찬욱 감독 이번에도 잘 봤네요                         
97, 탑건: 매버릭 ,9,최고네요.오래기다린 보람이 있는 찐 액션!                         
98, 엘비스 ,8,내가 엘비스 노래를 전혀 모르네...퀸을 기대했는데 아쉽                         
99, 브로커 ,2,ㅋㅋㅋㅋ진짜 재미없다 절대 보지마라 1시간 1시간보고 꺼버림                         
100, 기생충 ,10,재밌는데 이게영화지 후회안한다                         
101, 토르: 러브 앤 썬더 ,6,"필요한 내용이었던 것 같은데, 이 내용은 축약해서 영화의 시작으로 보여주고 그 뒤 내용이 더 있었으면 좋았을 것 같아요                         "
102, 인민을 위해 복무하라 ,6,신고 
103, 탑건: 매버릭 ,10,"4D로 봤는데 아이맥스로도 보고싶다. 이제 아이맥스로는 상영 안 해서 슬픔,, 모든 게 완벽했던 영화! 영화관에서 본 영화 중 가장 좋았다.                         "
104, 헤어질 결심 ,10,마침내. 대작이 탄생했다.                         
105, 당신 뿐이야 ,6,시작은 재미가 있었는데..  갈수록 힘이 빠지네                         
106, 더 킬러: 죽어도 되는 아이 ,10,"장혁 액션씬 진~짜로 대박입니데이 ! 마마,, 아이고마,, 그냥 보이소마 !                         "
107, 탑건: 매버릭 ,8,신고 
108, 탑건: 매버릭 ,10,"이영화 안본사람 꼭보셔야합니다!돈값 시간값 아깝기는 커녕 차고넘칩니다벌써 2회차 진지하게 관람했는데 정말 행복한 시간이었습니다.볼수록 재미있고요,내용이 어렵지않아 전연령대 즐겁게 볼수있는 영화,,아니 이건 톰형이 주는 선물입니다! 무조건 받으세요!                         "
109, 헤어질 결심 ,10,당신에게 영원히 지워지지않을 미해결이 되기위한 그 헤어질 결심                         
110, 마녀(魔女) Part2. The Other One ,6,1편은 5번봤는데 2편은 기대했던거보다 좀 별루였어요  액션 장면은  잘 찍었다싶은데  스토리가 너무 밋밋해요 배우들의 연기는 좋았어요 이종석이  어울리지않는 느낌?  최우식만큼의 포스가 없네요                         
111, 명탐정 코난: 할로윈의 신부 ,6,최근 극장판중엔 제일 나음근데 그거 말곤 그닥.. 그냥 흔한 코난 극장판이었는데 왜 이리 호평인지 잘 모르겠다.최근 극장판들이 너무 별로여서 더더욱 그럴수도 있단 생각이 듦.경찰 동기 좋아하는 오타쿠는 필수로 봐야할듯 그게 아니라면 스토리도 진행도 예상 가능한 뻔한 내용이었음.                         
112, 안녕하세요 ,7,바쁜 삶.. 이영화 한편 보면서 나를 돌아보게 하네                         
113, 로스트 도터 ,6,대체 인형은 왜 안 주고 있는 거야?                         
114, 마녀(魔女) Part2. The Other One ,9,네이버 평점에 큰 기대 안하고 봤는데 이 정도면 평점 더 올려주고파...                         
115, 50가지 그림자: 해방 ,10,여자판 포르노라는 말이 괜한말이 아니었네 잘생기고 억만장자인 남자가 나에게 돈을 아끼지 않고 환상적인 섹스까지 선사한다는 비현실적인 스토리는 여자의 로망을 모두 갈아넣었고 혹시 나도 저렇게 될수있지 않을까? 라는 헛된욕망을 품게한다 현실에 저런 남자가 있더라도 절대 평범한 여자에게 빠질리는 없음                         
116, 멘 ,7,그냥                         
117, 엘비스 ,7,굿                         
118, 헤어질 결심 ,9,"카메라 각도에 따라 새로워지는 탕웨이의 매력(특히 목소리,말)과 워커홀릭 경찰 박해일의 집중력 - 몰입하게 하는 힘이 끝까지 팽팽하게 잘 어울리는 영화다. 음악으로 비유하자면 '톱연주'공연을 보는 느낌.저 톱이 살아나서 악어처럼 썰어대면 어쩌지...하는 불안감이 즐거웠던 영화.                         "
119, 주(咒) ,9,"엄청 무서워잉 ㅠ _ ㅠ 혼자 쫄면서 재밌게 봤음,, 불쾌하고 찝찝하면서도 심장 쫄깃 ,,,                         "
120, 헤어질 결심 ,10,박찬욱 감독은 다시한번 자신의 색깔을 보여줌과거영화들의 오마쥬도 기가막히게 표현하고두 주연배우의 연기력은 연출가의 표현보다 더 대단하다. 특히 탕웨이의 입가의 미소표현등..정말 말로 표현이 안될 정도의 감동                         
121, 나이트 폴 ,10,"흑사회에서는 저 둘이 깡패 두목하고 부하 관계 였는데, 여기서는 경찰과 용의자 관계 ㅎㅎ 암튼 재밌게 봤습니다.                         "
122, 토르: 러브 앤 썬더 ,8,걍 평범한 팝콘 무비임 피씨니 뭐니 호들갑 떠는 인간들 때문에 극장 가서 봤는데 딱히 거슬리지도 않음... 뭘 해도 불편한 사람들일듯 ...                         
123, 마녀(魔女) Part2. The Other One ,10,1편을 보고나서 충격이 컸기때문에2편은 재밌었지만 아쉬운 부분도 있는거 같아요액션씬 보다보면 시간 금방 지나갑니다3편도 기대할게요                         
124, 페인티드 버드 ,7,말없이 충격적인 장면장면 때려박으니 내영혼에 스크래치                         
125, 멘 ,10,솔직히 애지간한 공포영화보다 참신하고 무서움 요즘 건 다 뻔해서...                         
126, 명탐정 코난: 할로윈의 신부 ,10,코난의 액션씬 뿐만 아니라 동기조의 액션씬 까지너무 완벽했어요 특히 이번 ost도 너무 좋았는데아직까지도 기억에 남아서 흥얼거리게 됐습니다경찰 동기조의 이야기도 너무 재밌고 제가 느끼기에는 베이커가의 망령을 뛰어넘은 것 같아요 꼭 보시길 추천드리고 특전으로 주는 카드까지 받아가세요 정말로 재밌습니다.                         
127, 이상한 나라의 수학자 ,10,영화에 수학이라는 소재가 신선했고 이렇게 가슴 훈훈해지는 영화는 오랜만이네요 원주율로 만든 ost도 감동적이였어요                         
128, 탑건: 매버릭 ,10,"진짜 재밋읍니다 꼭보세요 나 113만 유튜버 "" 유클래스쇼팽 ""(유튜브임)이 보고 감동과 사랑그리고 액션과 박진감을 주는 좋은 영화 같습니다 저는 이영화가 너무 좋고 재밌는것 같습니다 득근! 해병대 1283기 화이팅!                         "
129, 너의 결혼식 ,4,무한이기녀와 극한민폐남의 치정 (?). 이런 애들이 세상에 득시글하다는 경고용?                         
130, 명탐정 코난: 할로윈의 신부 ,9,최근 몇 년 사이에 나온 극장판중에 제일 재밌었음다음편 기대할께요 ㅎㅎㅎ                         
131, 명탐정 코난: 할로윈의 신부 ,10,눈물 흘리는 금발 남자가 심금을 울리네요                         
132, 더 킬러: 죽어도 되는 아이 ,10,권태로운 킬러의 퇴폐미라고 해야하나요. 장혁님이 정말 딱이긴 합니다. 물론 어디서 많이 본 듯한 장면들의 반복이지만 그냥 장혁님은 멋집니다. 중간중간 저도 모르게 빵터지는 대사들이 있어서 웃기도 몇번 했구요.                         
133, 더 비지트 ,6,귀신보다 무서운게 싸이코                         
134, 밀리언 달러 베이비 ,10,영화 끝나고 말이 안나왔던적은 처음...                         
135, 탑건: 매버릭 ,10,최고의 최고의 영화 영화                         
136, 헤어질 결심 ,10,미묘한 작품 복습해야지                         
137, 해변의 에트랑제 ,10,개잘생긴 남주가 무려 두명 심지어 서로 좋아함 이거 .. 코피 안터질 수 있ㄴㅏ?..                         
138, 엘비스 ,10,"엘비스의 오랜 팬으로서 먼저 감독님과 배우분들께 2년여동안 고생하고 멋진 작품을 만들어 주신 것에 감사하고 싶어요 엘비스를 이해하고 만든 영화라서 볼만하고 당시의 엘비스의 노래와 춤, 무대를 그대로 재현해서 더 멋진 영화라고 생각합니다 우리나라에선 많이 알려지지 않은 엘비스의 진면목을 많은 사람들이 알게되었으면 좋겠어요 그리고 흥행에도 성공하길 바랍니다                         "
139, 토르: 러브 앤 썬더 ,4,개노잼  엉성한 미국식개그 유치뽕 차라리 애니보겠다                         
140, 탑건: 매버릭 ,10,진짜 감동 받아서 엔딩 크레딧 다 올라갈때까지 앉아있다가 나온 영화..톰 크루즈 최고한스짐머 최최최최고                         
141, 이끼 ,10,꿀잼인데 너무 저평가된 영화                         
142, 탑건: 매버릭 ,9,스토리는 진부해서 영화가 지루할 줄 알았지만 몸에서 힘을 빼지 못하고 있는 나를 발견할 수 있었습니다                         
143, 헤어질 결심 ,9,마침내. 무너지고 깨어지다.                         
144, 토르: 러브 앤 썬더 ,10,재미있습니당                         
145, 엘비스 ,10,잘봤어요                         
146, 헤어질 결심 ,10,처음으로 혼자서 두번 본 영화                         
147, 엘비스 ,8,매니저에 관한 내용을 알고 봤더니 보는 내내 슬프다는 느낌이 많이 들었어요톰행크스에 연기....와우                         
148, 엘비스 ,10,오스틴 버틀러의 연기에 찬사를~~배우들의 연기력.스토리.메시지..볼거리 많고 재밌습니다.추천해주고 싶은 영화네요.                         
149, 탑건: 매버릭 ,10,진짜 최고다. 내가 이 영화는 진짜추천한다.                         
150, 토르: 러브 앤 썬더 ,10,염소들이 나와서 다 없애줌                         
151, 귀문 ,2,"96년에 대학생 3인방 씬에서 96년인데 ""ㅋㅋㅋ""라니? 당시에는 쓰지도 않던 말인데 고증이 너무 성의 없고 스토리 엉망이고 김강우급 배우가 이딴걸 찍었다는게 안스러울뿐                         "
152, 토르: 러브 앤 썬더 ,7,MCU 페이즈4는 다 실망스럽네요영상미와 OST와 고르 캐릭터만 좋았던 듯                         
153, 토르: 러브 앤 썬더 ,4,우리가 엔드게임까지 봐왔던 그 토르 맞나싶음.와이키키형 믿고 봤는데 이번엔 선넘는 느낌.액션씬보다는 대사로 뭘 풀어가려고 하는데앞으로도 이런식으면 토르는 보내주는게 맞을것 같음.                         
154, 1917 ,10,연출이 좋네요 긴장감을 못놓겠어요                         
155, 마녀(魔女) Part2. The Other One ,6,"재미는 있어 1편의 후광? 나름 스토리 낑겨 맞추느라 애 쓴  흔적 있지만 괜찮아 근데 그냥 무협이 돼 버린... 너무 하네 이러다 영화 대사처럼 진짜 우주 외계인까지 나오는거 아닌가 몰라 SF를 보고픈게 아니었는데 너무 갔어 너무...ㅡ,ㅡ                         "
156, 마녀(魔女) Part2. The Other One ,10,예전에 별기대없이 마녀1 영화관에서보고졸잼이어서 2만 기다렸는데…뭔가 아쉬운부분은 있어도 나름잼있었음근데 제주도남매 ㅜㅜ… 짠함…                         
157, 토르: 러브 앤 썬더 ,10,러브 앤 썬더를 잘 풀어낸것 같다                         
158, 명탐정 코난: 할로윈의 신부 ,10,진짜 최고입니다……다들 봐주세요…ㅠㅠㅠ                         
159, 브로커 ,1,신고 
160, 엘비스 ,10,넘 잘봤어요 b ^^ ..                         
161, 엘비스 ,10,22년 음악의 리듬앤 블루스의 시작. 너무나 재밌습니다 2번 봤어요                         
162, 엘비스 ,10,보헤미안 랩소디 급이고 음악영화 좋아하는 사람이면 무조건 좋아하실 겁니다                         
163, 미씽: 사라진 여자 ,10,공효진 연기 난리나버려ㅠㅠ                         
164, 토르: 러브 앤 썬더 ,7,탑건때문에 억까당하는 느낌이있음 그냥 킬링타임용                         
165, 명탐정 코난: 할로윈의 신부 ,10,이쯤에서 말하지 그래?응 진실은 언제나 하나!                         
166, 헤어질 결심 ,10,참 아름답고 참 쓸쓸한 영화                         
167, 마녀(魔女) Part2. The Other One ,2,부자연스럽고 유치한 연출이 손발을 오그라들게 만듬 이종석 컨셉 중국애 굳이 선글착용 남매 주인공 밥차려주고 굳이 오버해서 싸우는장면 등등스터리는 없는데 영화를 너무 길게 늘려놔서 지루함                         
168, 마녀(魔女) Part2. The Other One ,10,재밌는 한국형 액션영화 후속편도 기대할께요~~                         
169, 마녀(魔女) Part2. The Other One ,2,오메~ 밑도끝도 없는 스토리에 결말까지 이건 뭐 1편을 씹어먹을 만치 OOO를 만들어놯네                         
170, 탑건: 매버릭 ,10,탐 크루즈 영화는 믿고 봅니다. 이번 탑건 매버릭도 기대 이상으로 너무 재밌었습니다. 최고에요~~                         
171, 헤어질 결심 ,10,서래와  해준이 파도처럼 다가와 잉크처럼 스며들어 마침내 ?또 봐야겠다                         
172, 명탐정 코난: 할로윈의 신부 ,10,너무 재미있다…..또 보고 싶은 영화                         
173, 탑건: 매버릭 ,10,감동적인 영화. 재미와 감동을 모두 잡음                         
174, 닥터 스트레인지: 대혼돈의 멀티버스 ,6,완다 언니가 다했다 내 아내 완다 사랑해 제발 좀 행복해                         
175, 러브: 무삭제판 ,7,지나치게 많은 섹스신을 제외해도 충분히 좋은 영화인데                         
176, 토르: 러브 앤 썬더 ,10,의외로 난 괜찮았다 웃기기도 했고...어린이만화 본 듯 함 ㅎㅎ                         
177, 헤어질 결심 ,10,크레딧 올라가면서 눈물이 흐르네요틈 없이 집중했어요 여운이 오래 머무를 듯                         
178, 토르: 러브 앤 썬더 ,1,마블의 장례식같은 영화. 디즈니 마블은 끝났다.                         
179, 탑건: 매버릭 ,10,10점주러 로그인해씀 4D 아이맥스 추천 그냥 보세요 이런영화를 극장서 안보면 후회함 헌터킬러 본 후 오랜만에 비슷한느낌                         
180, 브로커 ,4,"이렇게나 훌륭한 배우들을 데려다가… 존경했던 히로카즈 감독님, 이건 좀 너무하신 거 아닙니까.                         "
181, 토르: 러브 앤 썬더 ,1,한줄요약: pc묻은 번개맨                         
182, 탑건: 매버릭 ,10,두근두근 세근세근                         
183, 더 킬러: 죽어도 되는 아이 ,10,개봉관 수 늘려라..솔직히 토르보다 백배 낫다.                         
184, 헤어질 결심 ,1,"내 생애 최악의 영화, 찬욱이 형 은퇴할 때 된 듯                         "
185, 헤어질 결심 ,9,박찬욱 감독의 또 하나의 명작                         
186, 헤어질 결심 ,1,평점만 보고 무작정갔는데 장면도 휙휙 나오는 사람들이 왜 그러는지는 좀 파악이되는데 진짜 내용이랑 전체적인부분이 이해 안돼서 사람들 다 영화끝나고 해석보고가더라...노잼                         
187, 인천상륙작전 ,1,영화관 가서 이거 보고 왔을 때 굉장히 화가 난 상태로 나왔었던게 기억난다.억지 전개에 억지 연출에 그냥 국뽕 믿고 가는 영화였던걸로 기억함. 배우들이 정말 아까운 영화                         
188, 탑건: 매버릭 ,10,신고 
189, 엘비스 ,8,엘비스 프레슬리에 대해서 알 수 있었고 음악도 연출도 화려했다.                         
190, 그레이 맨 ,9,화려한 볼거리. 각국 도시 풍경이 빠르게 지나가는 감각적이고 세련된 화면 연출. 2시간 잘 즐길 수 있는 추천할만한 오락영화. (캐스팅은 좀 아쉬운 부분도 있음.)                         
191, 헤어질 결심 ,2,"상받았다고 봤는데 너무 재미없고 시간,돈 아까움                         "
192, 미스터 & 미세스 스미스 ,7,"공들여 만든 B급 영화, 그래서인지 재미는 A급                         "
193, 클레멘타인 ,10,친구가 클레멘타인 괜찮게 봤다고 멍멍하고 지껄이길래 화나서 별점 매기러 왔습니다.                         
194, 랑종 ,8,이제서야 봤네요...공포영화로서의 접근으로 감상한다면 좀 실망할수도있겟지만 ...오컬트 미스테리 쪽으로 포커스를 맞춰 보시면 괜찮게 본거같고 여주랑 이모님 연기가 아주좋았습니다                         
195, 마녀(魔女) Part2. The Other One ,10,다 떠나서 액션지수는 마블영화 이상아닌가! 왜 이렇게 평점이 낫은지..                         
196, 디 워 ,1,11점입니다 ...^^                         
197, 헤어질 결심 ,10,박찬욱 감독은 아직도 진화중이고 탕웨이는 한국에 굴러들어온 복덩이다 매력의 강도가 전성기의 여자 양조위 급이었음                         
198, 킹메이커 ,7,미쟝센에 대한 확신! 대한민국이 한번은 집고가야 할 역사! 그들의 표면에 드러난 대의는 왜 ?그리고  무엇때문인가? 바로 그것이 부족해 이야기가 담백함을 띠는 아이러니!                         
199, 엘비스 ,8,중간에 can't help falling in love나올때 전율이...러브 미 텐더가 안나온게 아쉽..                         
200, 토르: 러브 앤 썬더 ,2,"레옹 마틸도 팬이고 마블스튜디오 광팬인데,정말 이번영화는 심각하게 재미가 없네요.                         "
201, 헤어질 결심 ,10,탕웨이는 언제나 인생영화만 찍어준다. 그중 두 편을 한국 감독과(와우!). 이전에 그랬듯 이번에도 그녀가 연기한 건 사랑. 파도처럼 밀려오는 건 서스펜스가 아니라 로맨스. 사랑의 제맛에 관한 영화랄까(생각해보면… 박찬욱이 그간 사랑 영화 아닌 걸 찍은 적이 있었던가).                         
202, 용루각2: 신들의 밤 ,1,뭐지 ..?? 시간이 너무 아깝다                         
203, 일본패망하루전 ,2,원제목은 일본의 가장 긴 하루인데... 일본 패망 하루전. 제목을 너무 잘지었으므니다                         
204, 더 킬러: 죽어도 되는 아이 ,9,토르나 마녀보단 낫다 장혁은 이런 액션이 독보적이다 자꾸 대길이 생각난다고 너무 폄하하진 말자                         
205, 사도 ,10,"사도세자가 뒤주에 갇혀 죽었다는 역사적 사실만 얄팍하게 알고 있었는데 역사적 고증과 배우들 명연기, 연출, 음악이 더해져 눈물나게 한 영화.. 사도세자에 대해 더 찾아보고 공부하게 됐음 ㅠ                         "
206, 큐어 ,10,현대인이 지닌 공포의 근원을 보여준다                         
207, 피는 물보다 진하다 ,3,제목은 그럴싸한데 막상 뚜껑 열어보니 뚜껑열리네                         
