,Unnamed: 0,titles,rates,reviews,isit_domestic
53,53,오마주,8,"별다른 정보 없이 봤는데, 보고 난 후 진한 감동을 느꼈습니다. 이정은 배우 연기도 좋고 감독님 연출도 섬세합니다.        ",True
54,54,어벤져스: 엔드게임,10,  ,False
55,55,어벤져스: 엔드게임,10,  ,False
56,56,어벤져스: 엔드게임,10,  ,False
57,57,어벤져스: 엔드게임,10,  ,False
58,58,어벤져스: 엔드게임,10,  ,False
59,59,헤어질 결심,9,절제되었기에 절단하는 영화        ,True
60,60,탑건: 매버릭,10, 이러한 멋들어진 속편이 다시 나올 수 있을까        ,False
61,61,실종,7,이토 아오이 배우의 차기작을 기대해 봅니다.        ,True
62,62,버즈 라이트이어,1,흐지부지 되는 게 왜이리 많어        ,False
63,63,마녀(魔女) Part2. The Other One,8,제목에 한글 한자 영어 다 있듯이 그러한 영화입니다        ,True
64,64,애프터 양,8,파칭코 보고 나서라 더욱 인상 깊었네요        ,False
65,65,닥터 스트레인지: 대혼돈의 멀티버스,9,그래도 CG가 선녀니까        ,True
66,66,외계+인 1부,1,ㅋㅋ걍 말하기도 아까운 영화임        ,True
67,67,브로커,6,아이유 팬들을 이긴 영화        ,True
68,68,탑건: 매버릭,8,너무 뻔한 전개 그래도 재미는 있음        ,False
69,69,범죄도시2,10, 3편도 기대하도록 만드는 이상용 감독!        ,True
70,70,쥬라기 월드: 도미니언,3,진짜 왜 시리즈인걸까 ㅋㅋㅋ ㅠㅠ        ,False
71,71,미니언즈2,6,미니언즈다 너무 귀여움        ,False
72,72,외계+인 1부,10, 진짜 진짜 김우빈 개 잘생겼고 개 재밌고 진짜 계속 생각 날 영화인거 같아요 진짜 다음에 넷플에 나오면 또 봐야지        ,True
73,73,토르: 러브 앤 썬더,8,전작이 너무 강했어서 그렇지...이번에도 햄식이 특유 재치연기랑 노래 등등등 인상깊었음!!!        ,False
74,74,토르: 러브 앤 썬더,10,  ,False
75,75,외계+인 1부,10," Intj 입니다.매우 정말 재미있게 봣습니다 한번더 볼 의향이 잇어서 검색중에 평점 클릭하니 평가기준들을 엄격하게 하고들 계셔서 처음으로 이렇게 글을 남깁니다,   영화는 휼륭햇구요 괜찬습니다 꽤나 만족할 정도입니다,그래픽은 어색하지만 이영화 영상미에 잘어울렸어요 그게 조금 의아했지만 꽤나 전투씬이며 웃음포인트며 한국식을 벗어난 영화로 맘에들었구요어디 내놔도 부끄럽지 않을정도는 된다고 전 생각합니다 가볍게 즐기기에도 좋고 신중하게 보기에도 좋고전 매우 칭찬합니다 한국 sf장르의 대발전으로 생각됩니다, 감독형님이 정말 잘 저절렀다고 판단됩니다김태리배우는 매우 이쁩니다        ",True
76,76,엔젤 하트,8,마지막장편  마치 지옥으로 내려가는 장면 압권이었다        ,False
77,77,외계+인 1부,10, 재밌다…기대이상!        ,True
78,78,외계+인 1부,2,마블이 말아먹어준 덕분에 6점대라도 유지        ,True
79,79,외계+인 1부,10,  ,True
80,80,그레이 맨,10, 존잼~!!존잘~!존예~!!        ,False
81,81,외계+인 1부,10, 뭐야 평점 하나씩 준 애들때문에예매했다가 취소하고 땡겨서 그냥 보고왔는데재미있구만 과거미래 장면바뀌는것도 잘이어지고 이해력 딸리는 애들만 평점 낮게준듯겁나 웃고왔구만 염정아님 때문에 미친듯이 웃고왔네요 ㅋㅋ  2부 빨리 보고싶다 ㅠ        ,True
82,82,명탐정 코난: 할로윈의 신부,10, 생각했던 것보다 그 이상으로 재밌었음ㅠㅠㅠㅠ        ,False
83,83,탑건: 매버릭,10, 벌써 3차관람!! 근데도 다시 보고싶음        ,False
84,84,외계+인 1부,10, 솔찍히 후기 다 별로길래 안볼라고했는데 망작까진 아니고 난 재밌게봄. 사람마다 다르나봐. 난 매우 만족하고 봄. 킬링타임용으로 좋음        ,True
85,85,레지던트 이블: 라쿤시티,1,레지던트이블 시리즈 다본 사람으로써어이가 없어 충격먹음. 어떻게 카야까지 쓰고 이런 망작을..        ,True
86,86,외계+인 1부,8,관람평이 좋지 않아서기대 반 걱정 반으로 봤는데…나름 재미 있게 봤어요.장르를 SF 액션 무협 판타지라고해야 할까요?!!유머도 있고…저는 2편 기다려 집니다…ㅋㅋ        ,True
87,87,탑건: 매버릭,10, 클리셰를 잘 풀어낸다면        ,False
88,88,마녀(魔女) Part2. The Other One,10, 액션 연출이 미쳤음... 이 정도 급의 초능력자 영화를 우리나라가 만들 줄이야        ,True
89,89,미니언즈2,4,중국 자본에 굴복한 미니언즈2. 귀여운 것도 중간까지만.미니언즈 보러간거 아니고 쿵푸팬더 후속작 쿵푸미니언즈 보러간줄        ,False
90,90,사도,9,평생을 구설수에 시달린 능력있는 왕은 결국 좋은 아비가 되지 못하였다        ,True
91,91,외계+인 1부,10, 왜이렇게 욕을 먹는지 모르겠다. 우리나라 천만관객 영화들 수준생각하면 이정도면 훌륭함.        ,True
92,92,외계+인 1부,10, 전 너무 재밌었어요! 왜 평점 낮은지 잘 모르겠…        ,True
93,93,브로커,10, 다 지루하고 전개도 별로라고 해서 별로 기대 안하고 봤는데 너무 재밌더라고요!! 꼭 보세요!! 추천        ,True
94,94,영웅: 샐러멘더의 비밀,10, 단언컨데 영화계의 바이블이라고 불리어도 손색없을 명작임. 화려한 액션부터 감동까지 레전드의 시작!        ,True
95,95,탑건: 매버릭,10,  ,False
96,96,범죄도시2,9, ,True
97,97,탑건: 매버릭,10,  ,False
98,98,명탐정 코난: 할로윈의 신부,10, 명탐정코난 더 좋아졌다        ,False
99,99,워 호스,8,"선입견때문에 안보다 스필버그 감독이라 이제야 봤는데 역시...스필버그, 실망시키지 않는 그이름.        ",False
100,100,탑건: 매버릭,10, 톰크루즈도 주름은마니있지만 얼굴은그대로 이네요86년도 탑건이 생각이나면서감동적었습니다 눈물이 핑돌드라고여        ,False
101,101,외계+인 1부,8,이렇게까지 조롱당할 작품은 아니라고 생각합니다. 호불호는 갈리겠으나 충분한 매력이 있어요.        ,True
102,102,탑건: 매버릭,9,내가 전투기 탄 것 마냥 숨참고 보게 만드는 영화.        ,False
103,103,손님,1,내용더러움문재앙쥐굴들어가라캐라        ,True
104,104,외계+인 1부,10, 전정말재미나게봄 30대 중반아재 임 ㅋ        ,True
105,105,외계+인 1부,10, 넘넘 재밌게봤습니다. 오~이런영화도 만들수있구나 2편 무지무지 기대됩니다!        ,True
106,106,외계+인 1부,8,"재미있게 보았다,사실 토르4보다 재밌게 보았는데...  평이 낮은게 많이 안타깝다...염정아 조우진 캐미는 최고였던거 같다.        ",True
107,107,외계+인 1부,9,진짜 재밌었어용 한국에서도 이런 영화나온다는거에 의미가 있습니다  러닝타임이 조금 긴거치고는 몰입이 잘되서 지루한 느낌이 전혀 없었어요 다음 편 빨리 보고싶음        ,True
108,108,외계+인 1부,1,자려고 눈을 감아도 너무 소리가 커서 잘 수도 없어 인생 처음으로 보다가 중간에 나왔습니다..        ,True
109,109,탑건: 매버릭,10, 아 평점 잘안주는데 이건 꼭줘야겠음 갓영화란 이런것이다        ,False
110,110,뒤틀린 집,1,이영화 뭐지??  너무 재미가없는데??        ,True
111,111,탑건: 매버릭,10, 이거 영화관에서 안 보면 인생 손해에요 제발 보세요.. 미친 영화에요 진짜 모든 게 완벽합니다 영화 뽕에 취해서 두 번 봤는데 상영 끝나기 전까지 몇 번 더 볼 것 같아요… 꼭 보세요        ,False
112,112,내 여자친구를 소개합니다,10, 몇번을봐도 눈물나는 영화        ,ERROR
113,113,썸머 필름을 타고!,10," 영화를 사랑하고 여름을 사랑하고 아이들의 우당탕탕 청춘을 사랑하는 사람으로서 너무너무 재밌고 마음에 드는 영화였습니다 90분만에 맨발과 킥보드, 블루하와이를 너무 사랑하게 돼버려서 영화관을 나오기 힘들었네요.. 몇번이고 보아도 좋을 것 같아요        ",True
114,114,탑건: 매버릭,10,  ,False
115,115,돌이킬 수 없는,6,너무 적나라한 연출 범죄의 현장을 너무 적나라하게 보여준다 감독은 그걸 보여주고싶었던겁니다        ,True
116,116,헤어질 결심,2, ,True
117,117,외계+인 1부,2,무엇을 상상해도 그 이상의 최악        ,True
118,118,매드맥스: 분노의 도로,10, 몇번을봐도 재밌어요 ㅠㅠ        ,True
119,119,외계+인 1부,10, 그냥...김우빈이 키도크고 참 멋있다...        ,True
120,120,탑건: 매버릭,10, 이런게 영화다.꼭봐라 진짜...        ,False
121,121,범죄도시2,10, 인삼주 진짜 신의한수 . 아 너무웃었음 배우들도진짜빵터진듯        ,True
122,122,외계+인 1부,10, 난 진짜 재밌었음 안 좋은 평이 이해가 하나도 안 됨        ,True
123,123,외계+인 1부,1,내용이 산으로 가니 연기도 어설퍼 보이네요        ,True
124,124,토르: 러브 앤 썬더,8,팝콘 무비로는 그럭저럭 볼만 했음.        ,False
125,125,바스터즈: 거친 녀석들,10,  ,False
126,126,이공삼칠,2,알고있었나?? 임신한거 하면서 얼굴 클로즈업 되는순간 그냥 꺼버림..  더 볼것도 없음        ,True
127,127,불도저에 탄 소녀,7,독종 연기 좋다. 어디서나 누구나 일어날 수 있는 상황들.        ,True
128,128,썸머 필름을 타고!,10, 풋풋한 여름시절을 타고        ,True
129,129,외계+인 1부,2,휴...우....우..!!        ,True
130,130,미니언즈2,6,재밌게 봤으나너무 중국자본들어간게 좀 좋지않은..ㅜ미니언즈의 귀여움이 멱살잡고 끌고감 ...        ,False
131,131,외계+인 1부,10, 이정도면 대만족인데~ 나의취향저격!! 평점 너무 박한듯        ,True
132,132,토르: 러브 앤 썬더,5,우리 토르가 달라졌다가 다시 예전처럼 됐네요        ,False
133,133,외계+인 1부,1,진짜 개OO같은 영화림…        ,True
134,134,헤어질 결심,10," 박해일님 목소리와 연기, 영상을 방해하지 않는 클래식 선율, 스토리를 이끌어가는 영상기법? 영상미,, 아주 인상적이었던        ",True
135,135,탑건: 매버릭,10, 이것이 왜 천만 못찍었지??        ,False
136,136,탑건: 매버릭,10, 개꿀잼..ㅜㅜ 봤던 액션영화중에 제일 재밌음        ,False
137,137,헤어질 결심,4,중간에 코골고 자고 누구는 중간에 나가고 재미없습니다 김신영이 형사로 나오는 것도 이상하고        ,True
138,138,헤어질 결심,10, 영화 끝나고 자리에서 일어설 수가 없었습니다. 거친 파도 속 해진이 그랬던 것처럼 그 자리에 제가 있는 것 같았기 때문입니다.        ,True
139,139,외계+인 1부,10, 사람들이 별로라고 해서 기대없었는데 재밌었음. 갠적으로 범죄도시2보다 나았음        ,True
140,140,외계+인 1부,10, 터지는 장면도 많았고 영상미도 괜찮고 생각보다 볼만했는데 왜 평점 이리 낮은지 이해불가        ,True
141,141,외계+인 1부,1,보다 잔거 처음임감독 혼자 고집부려서 만들었나요?주변에 충신들이 아예 없었나봄..        ,True
142,142,외계+인 1부,1,어떻게 이런 배우를 가지고 이 딴 영화를        ,True
143,143,미니언즈2,7,더운 날 시원하게 볼 수 있어요.  타임킬링용        ,False
144,144,레모니 스니켓의 위험한 대결,10, 최고에요 어렸을 때 추억의 영화 명작은 다시보아도 쟈밌어요        ,True
145,145,탑건: 매버릭,10, 살면서 영화보면서 슬퍼서 운적은 있지만 ㅈㄴ멋있어서 눈물나온적은 첨임 인생영화 톰크루즈넘무멋쪄        ,False
146,146,외계+인 1부,8,만족합니다 저는 2부가기대됩니다.        ,True
147,147,존 카터: 바숨 전쟁의 서막,10, 만족스럽게 봤던 영화인데 2편 후속작 기대를 했었는데영화관에서 보면서ㅠㅠ 10년이나 지나서 ㅠ 안만들어주겠쥬 ㅠ        ,False
148,148,범죄도시2,6,코로나 해제 타이밍의 힘인가? 솔직히 천만정도는 아닌듯 ㅋㅋ        ,True
149,149,미니언즈2,10, 역시 미니언즈가 미니언즈 했다미친듯이 귀엽고 또 귀여움        ,False
150,150,태극기 휘날리며,10, 이건 김정은이 봐도 눈물콧물 질질흘리면서 본다에 내 속목을건다        ,True
151,151,탑건: 매버릭,10, 눈과 귀가 호강했네요        ,False
152,152,외계+인 1부,10, 펑점이 왜이렇케 낮은건가요? 난 너무재미있던데 우리나라에서 이런영화가 나온것도 대단하고 스토리도 좋코 김우빈 류준열 연기너무잘하고 멋있고 우리국민 너무 냉정한거 아닌가요?        ,True
153,153,외계+인 1부,1,참... ㅋㅋ 진짜 돈아까워서... 한중일미 온갖 클리셰 짬뽕에... 인물간에 연결점도 없고 ㅋㅋㅋ제일 기분 나쁜건 중국 애들이 지들거 베꼇다고 해도 뭐라 할수도 없을듯 베낄께 없어서 중국 애들껄 ㅋㅋ  참나제작비 얼마라고?        ,True
154,154,탑건: 매버릭,1,기대에못미쳤습니다 제가최초로 초반에 극장에서졸았어요 OO 후반에도그나마 초잔보단 낮긴한데... 그래도딱히..별루입니다 개망작        ,False
155,155,바람이 분다,1,일본의 피해자 코스프레가 불편하지 않다면.. 한국인이 아니라 일본인이지.관동 대지진 때.... 조선인이 우물에 독을 탔다고 유언비어 퍼트려서 수천명의 조선인이 살해당했다. 전범국의 할배가... 아름다운 애니로 시대를 미화해도 비인간적이고 추악한 과거는 가릴 수 없는 거다. 요즘 애들.... 정신대로 끌고 가야 정신을 차리려나?한국도 역사 교육 제대로 해야 한다.        ,True
156,156,그레이 맨,9,간만에 생각없이 신나게 봤음ㅋㅋㅋ요거시 헐리우드 스케일이구나~~ㅋㅋㅋ너무재밌었음 극장안가고 넷플에서본게 아쉬울정도ㅋㅋ        ,False
157,157,탑건: 매버릭,10,  ,False
158,158,탑건: 매버릭,10, 평점 높길래 봤는데 높은 이유가 있었군..        ,False
159,159,외계+인 1부,10, 좀 정신없긴해도 지루함 없이신박하고 재밌어요김우빈 목소리 무엇너무 멋있어요 쏘 굿        ,True
160,160,탑건: 매버릭,10," 화려한 영상, 시원한 진행, 과거에 대한 존경까지        ",False
161,161,외계+인 1부,1,흠....그냥 뭐 그렇다        ,True
162,162,외계+인 1부,1,과거로 갔다 미래로 갔다 시간의 순서가 너무 이해가 안됨그리고 남주때문에 영화 볼맛이 안남태리땜에 보러갔다 진짜        ,True
163,163,외계+인 1부,10, 그냥 안 볼 이유가 없어요 꼭 보세요ㅜㅠ        ,True
164,164,외계+인 1부,7,나쁘지 않은데 영화가 비교적 길게 느껴졌다.2편 나오면 볼 의향이 있음.        ,True
165,165,외계+인 1부,7,나쁘지 않은데 영화가 비교적 길게 느껴졌다.2편 나오면 볼 의향이 있음.        ,True
166,166,외계+인 1부,10, 전 너무 재미나게봤어요. 가드와 썬더가 참 멋지고 매력적이었습니다.        ,True
167,167,외계+인 1부,10, 꼭 보시는걸 추천드려요^^        ,True
168,168,마녀(魔女) Part2. The Other One,2,10점준 악질들 알바 티 너무나서 밸런스패치 들어갑니다        ,True
169,169,외계+인 1부,2,재밌다는 평이 많아서봤는데 만사천원짜리 수면실        ,True
170,170,외계+인 1부,8,"재밌음,,,평점만보고 걱정했는데 그래도 중간중간 웃기고 배우들 연기도 잘함 살짝 오글거리긴함ㅋㅋ 그래도 진짜 재밌게봤어요        ",True
171,171,외계+인 1부,10, 한국영화판은 외계인 전과 후로 나뉘어 집니다        ,True
172,172,RRR: 라이즈 로어 리볼트,10, 난 아주 재밌게 봤음추천함        ,False
173,173,외계+인 1부,6,"재밌다는 분들은 어떤 영화를 봐도 재밌게 볼수 있는 행복하신분들인듯너무 뻔한 클리셰들과 잡탕과도 같은 어디서 다 본것들, 그리고 교차 시간 진행으로 몰입방해까지 b급도 되지 못한 c,d급 영화들의 흔한 모습        ",True
174,174,외계+인 1부,9,솔직히 점수 낮게줄만한건 cg밖에없는거같은데,True
175,175,헤어질 결심,10, 비슷한 결심을 했던 겨울이 떠올라 보는 내내 마음이 시려웠다. 미결로 상대의 마음에라도 남고자 하는 마음도 이해할수 있는 내가 슬펐다.        ,True
176,176,외계+인 1부,8,"영화 보지도 않고 악플 다는 사람도 많은 것 같네요.배우들 연기도 좋고, 재밌게 봤습니다.도사 얘기와 외계인 얘기의 결합이라 약간 유치하게 느껴질수도 있겠지만전우치 재밌게 봤다면 재밌게 볼 수 있을 듯.        ",True
177,177,외계+인 1부,10, 2부가 궁금.. 킬링타임으로 나쁘지 않음새로운 시도 좋아좋아 ^^2부에선 류준열의 흑화?? 궁금해짐        ,True
178,178,탑건: 매버릭,10, 5년만에 극장에 방문하게 한 영화        ,False
179,179,탑건: 매버릭,10, 탑건 매버릭은 진짜 전설이다 ㄷㄷ        ,False
180,180,외계+인 1부,9,보러 가기 전에 평이 낮아서 걱정했는데 엄마랑 재밌게 보고 나왔음!!cg랑 스토리도 흥미롭고 배우분들 연기력도 너무 좋아서 외계인2 기대됨!  호불호 갈릴수도 있겠지만 8점대는 되는 영화라고 생각함        ,True
181,181,외계+인 1부,2,재미없음~ 겉만번지러함!        ,True
182,182,외계+인 1부,8,굿 저는 이런 장르를 좋아하는 사람으로써 넘 재밌게 봤습니다        ,True
183,183,외계+인 1부,10, 새로운 시도에 난 눈이 즐거웠고 한국 영화에서 꾸준히 이런 시도가 있기를...난 재미있었어요.        ,True
184,184,외계+인 1부,1,단 한순간도 재밌는 부분이 없었는데.. 처음으로 2부 기대가 전혀 안되는 영화 배우진이 아까운 영화        ,True
185,185,토르: 러브 앤 썬더,2,마블 왜이래..        ,False
186,186,외계+인 1부,10, 난 이거 재미없다고 한 사람들 그냥 자기 스타일에 안맞는거 아님?그냥 완전 존잼인데 보는도 중에 심심한적이 한번도 없었음 솔직히 도중에 이해 안되는 부분이 있었긴 했는데 다 뒤에서 풀어주고 난 너무 재밌었음        ,True
187,187,범죄도시2,8,시워언하다        ,True
188,188,외계+인 1부,2,중국자본에 안넘어가는 배우들 없네.. 고려시대라면서 완전 중국 .. 실망스럽다        ,True
189,189,엘비스,8,엘비스를 몰랐던 내가엘비스를 알게됨 재밋음        ,False
190,190,엘비스,8,엘비스를 몰랐던 내가엘비스를 알게됨 재밋음        ,False
191,191,룸 쉐어링,2,"2점짜리 영화는 아니긴 한데, 전체 평점이 너무 높아서...        ",True
192,192,외계+인 1부,1,ㄴㄴ 절대 보지마시게나        ,True
193,193,외계+인 1부,1, 정성들여 만든티만 나고 재미없음; 돈아까움 진짜        ,True
194,194,외계+인 1부,8,웃을일없는 요즘 재미나게 보았습니다 일단 스트로 소재가 독특하네요 쟁쟁한 배우들의 뻔뻔한 연기가 일품입니다 ㅎㅎ        ,True
195,195,외계+인 1부,10," 동시에 1부, 2부 나눠서 13개월동안 촬영하면서 완결성을 지니면서 스토리가 이어지는 방식이 아닌, 1부와 2부를 합쳐 영화 1편이 되는 구성 방식으로 한국 영화로써는 최초의 시도이기 때문에 스토리 완성도 재미를 따지기 전 2부를 다보고 결론을 내야 할꺼 같네요. 시네마틱 유니버스도 없는 외계+인 시리즈의 1, 2부 구성은 세계적으로도 대단한 모험에 가깝고,1부와 2부를 나눈 기준에 대해 최동훈 감독은 “저는 본능적으로 거기에서 (1부의 엔딩을) 끊어야겠다는 느낌이 들었다”고 밝혔다고 합니다. 그리고 커뮤니티에선 예고편의 복식 등이 중국풍이라고 주장하고 있는데, 실제로 예고편에서 등장한 복식은 고려 후기의 귀족 복식을 잘 재현한 편에 속하며 중국 복식과는 거리가 있습니다(중국 복식과 고려-조선 복식은 외부 문화권에서 보았을 때 구분이 쉽지 않은 편이기도). 고려 시대가 사극으로 잘 만들어지지 않아 아직 대중들에게 제대로 알려지지 않았기도 하거니와, 최근 동북공정 등의 문제가 민감하게 받아들여지며 생긴 일로 보입니다. 특히 이안의 복장이 자주 지적을 받고 있는데, 단순히 옷이 붉은색이고 머리를 동그랗게 묶었으니 중국풍이라는 일차원적인 해석입니다. 흑설과 청운, 자장의 복식은 모티브가 된 설화가 한반도와 중국 양국에서 세계관을 공유하던 보편적인 설화였기에 겹치는 것이 당연합니다. 한국 고전 소설은 중국의 소설이나 설화에서 영향을 받은 것이 상당히 많습니다. 무대인사에서 김동훈 프로젝트 작가 N차 관람을 부른 영화라고 직접 언급하며 처음 1번만 봐서 재밌게 본사람들이라면 두번 보면 더 재밌게 볼수 있을 꺼라 언급. https://youtu.be/0iOMnBZy2gg 보듯이 어디서 본듯한 홍콩 무협영화 오마주와 패러디 연출이 나와 옛추억이 떠올라서 재밌게 관람하였습니다. 혹평 하는 사람들은 영화 이해가 부족한 사람들로 보이며 현재와 과거(고려시대) 오고가는 시점 반복 화면 전환에서 그렇게 전개되는건 이유가 있고 알면 알수록 재밌어지는 영화이기에 그래서 N차 관람유도함        ",True
196,196,헤어질 결심,9, ,True
197,197,엔젤 하트,9,서늘하다 못해 오그라드는 악마리즘.        ,False
